Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,,,,,2012-06,2012-03,2011-12,2011-09,2011-06
FITB,2014-12,429.00M,32.81B,2.73B,0.44,0.43,3.289B,5.55B,2014-12,385.00M,86.30B,3.193B,14.97B,2.02B,519.00M,134.00M,1.456B,614.00M,15.63B,138.71B,3.382B,40.58B,3.159B,123.04B,125.39B,117.24B,573.00M,0,5.591B,,,,,,,620.00M,739.00M,994.00M,521.00M,521.00M
FITB,2014-09,301.00M,29.67B,3.146B,0.39,0.39,3.367B,5.501B,2014-09,340.00M,86.30B,3.199B,14.34B,1.706B,464.00M,124.00M,1.362B,598.00M,15.40B,134.19B,3.382B,33.23B,4.584B,118.74B,127.51B,111.63B,567.00M,0,3.554B,,,,,,,,,,,
FITB,2014-06,382.00M,28.51B,2.717B,0.49,0.49,3.364B,5.423B,2014-06,439.00M,86.14B,3.158B,13.96B,1.824B,606.00M,167.00M,1.488B,613.00M,15.47B,132.56B,3.382B,32.08B,5.123B,117.05B,125.68B,109.91B,689.00M,0,3.567B,,,,,,,,,,,
FITB,2014-03,196.00M,26.10B,1.38B,0.36,0.36,3.409B,3.242B,2014-03,318.00M,85.42B,3.242B,11.23B,1.669B,438.00M,119.00M,1.412B,624.00M,14.83B,129.65B,3.085B,29.68B,4.654B,114.79B,122.92B,108.11B,593.00M,0,3.577B,,,,,,,,,,,
FITB,2013-12,82.00M,26.14B,0,0.44,0.43,3.406B,5.427B,2013-12,403.00M,84.35B,3.261B,9.633B,1.758B,561.00M,159.00M,1.516B,646.00M,14.59B,130.44B,3.085B,33.22B,3.422B,115.82B,117.54B,108.91B,609.00M,0,5.431B,,,,,,,,,,,
FITB,2013-09,218.00M,23.59B,3.487B,0.47,0.47,3.356B,3.235B,2013-09,421.00M,83.31B,3.235B,8.098B,1.692B,604.00M,183.00M,1.478B,647.00M,14.64B,125.67B,2.644B,27.16B,5.404B,110.99B,119.21B,102.22B,705.00M,0,3.572B,,,,,,,,,,,
FITB,2013-06,149.00M,19.69B,2.112B,0.67,0.65,3.338B,3.185B,2013-06,591.00M,83.88B,3.185B,6.94B,1.619B,841.00M,250.00M,1.646B,664.00M,14.24B,123.36B,3.042B,23.25B,4.367B,109.08B,117.40B,100.39B,881.00M,0,3.567B,,,,,,,,,,,
FITB,2013-03,333.00M,19.74B,2.439B,0.47,0.46,3.213B,3.138B,2013-03,422.00M,83.02B,3.138B,8.32B,1.599B,591.00M,179.00M,1.583B,682.00M,13.88B,121.38B,2.449B,23.30B,4.424B,107.46B,115.63B,99.94B,664.00M,0,3.568B,,,,,,,,,,,
FITB,2012-12,375.00M,19.32B,6.28B,0.44,0.43,3.14B,5.101B,2012-12,398.00M,83.32B,3.123B,7.085B,1.708B,540.00M,145.00M,1.557B,709.00M,13.72B,121.89B,2.449B,26.45B,8.889B,108.13B,109.29B,96.60B,678.00M,0,5.083B,,,,,,,,,,,
FITB,2012-09,468.00M,3.776B,5.503B,0.39,0.38,3.126B,3.062B,2012-09,363.00M,82.94B,3.062B,8.127B,1.588B,503.00M,139.00M,1.519B,656.00M,13.72B,117.48B,2.449B,3.776B,7.777B,103.71B,114.99B,92.82B,637.00M,0,4.873B,,,,,,,,,,,
FITB,2012-06,454.00M,4.357B,4.613B,0.41,0.4,3.186B,3.017B,2012-06,385.00M,82.21B,3.017B,9.685B,1.491B,565.00M,180.00M,1.517B,635.00M,13.77B,117.54B,2.449B,4.357B,6.745B,103.72B,115.15B,93.96B,620.00M,0,0,,,,,,,,,,,
FITB,2012-03,468.00M,3.863B,2.877B,0.46,0.45,3.22B,2.98B,2012-03,430.00M,81.57B,2.98B,9.648B,1.436B,603.00M,173.00M,1.546B,647.00M,13.56B,116.75B,2.449B,3.863B,4.632B,103.14B,114.51B,95.44B,739.00M,0,0,,,,,,,,,,,
FITB,2011-12,470.00M,18.96B,3.239B,0.33,0.32,3.138B,4.806B,2011-12,314.00M,78.19B,2.944B,9.307B,1.469B,418.00M,104.00M,1.289B,994.00M,13.20B,116.97B,2.449B,26.28B,5.429B,103.72B,103.24B,95.02B,994.00M,0,0,,,,,,,,,,,
FITB,2011-09,542.00M,4.376B,4.894B,0.41,0.4,3.124B,2.872B,2011-09,381.00M,78.62B,2.872B,9.80B,1.307B,530.00M,149.00M,1.563B,521.00M,13.03B,114.90B,2.449B,4.376B,6.628B,101.85B,112.56B,91.85B,521.00M,0,0,,,,,,,,,,,
FITB,2011-06,396.00M,3.75B,2.702B,0.36,0.35,3.313B,2.887B,2011-06,337.00M,76.54B,2.887B,10.15B,1.067B,506.00M,169.00M,1.52B,521.00M,12.57B,110.80B,2.449B,3.75B,4.172B,98.20B,108.42B,90.75B,521.00M,0,0,,,,,,,,,,,
