Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ALL,2015-12,-755.00M,2.617B,0,1.19,1.18,1.219B,2015-12,489.00M,4.338B,-73.00M,-73.00M,1.024B,90.00M,5.124B,0,720.00M,231.00M,8.691B,938.00M,20.02B,104.66B,1.755B,16.68B,0,84.63B,78.62B,17.42B,932.00M,0,14.06B
ALL,2015-09,-462.00M,3.941B,0,1.56,1.54,1.219B,2015-09,650.00M,4.402B,-73.00M,-73.00M,1.05B,243.00M,5.175B,0,955.00M,305.00M,9.028B,992.00M,20.50B,105.85B,1.755B,18.12B,0,85.34B,79.11B,17.76B,985.00M,0,14.18B
ALL,2015-06,67.00M,3.626B,0,0.8,0.79,1.219B,2015-06,355.00M,4.343B,-73.00M,-73.00M,1.038B,475.00M,5.186B,0,526.00M,171.00M,8.982B,1.061B,21.30B,107.12B,1.755B,17.74B,0,85.82B,80.24B,17.52B,1.043B,0,14.12B
ALL,2015-03,774.00M,3.413B,0,1.56,1.53,1.219B,2015-03,677.00M,4.276B,-73.00M,-73.00M,1.026B,779.00M,5.194B,0,1.081B,404.00M,8.952B,1.09B,22.18B,108.06B,1.755B,17.32B,0,85.88B,81.41B,17.46B,1.085B,0,13.91B
ALL,2014-12,561.00M,3.197B,0,1.89,1.86,1.219B,2014-12,824.00M,4.188B,-73.00M,-73.00M,1.031B,715.00M,5.14B,0,1.242B,418.00M,8.759B,1.156B,22.30B,108.48B,1.755B,17.15B,0,86.18B,82.04B,17.51B,1.154B,0,13.96B
ALL,2014-09,1.238B,3.348B,0,1.77,1.74,1.219B,2014-09,781.00M,4.143B,-78.00M,-78.00M,1.012B,1.076B,5.195B,0,1.19B,409.00M,8.936B,1.068B,22.33B,108.31B,1.755B,16.51B,0,85.98B,82.52B,18.00B,1.038B,0,13.16B
ALL,2014-06,1.566B,3.803B,0,1.41,1.39,1.219B,2014-06,645.00M,4.174B,-84.00M,-84.00M,990.00M,1.146B,5.846B,0,955.00M,310.00M,8.86B,1.023B,22.87B,110.23B,1.755B,16.69B,0,87.36B,84.55B,18.21B,1.027B,0,12.88B
ALL,2014-03,1.486B,3.743B,0,1.31,1.3,1.243B,2014-03,600.00M,4.472B,-87.00M,-87.00M,1.024B,886.00M,6.20B,0,849.00M,249.00M,8.684B,1.094B,22.10B,124.29B,1.514B,16.53B,0,102.19B,82.98B,17.91B,1.029B,0,12.78B
ALL,2013-12,1.046B,3.068B,0,1.77,1.74,1.243B,2013-12,821.00M,4.721B,-87.00M,-87.00M,1.024B,635.00M,6.201B,0,1.243B,422.00M,8.792B,1.258B,21.48B,123.52B,789.00M,15.93B,0,102.04B,82.29B,17.77B,1.201B,0,12.86B
ALL,2013-09,810.00M,3.763B,0,0.67,0.66,1.243B,2013-09,316.00M,4.817B,-83.00M,-83.00M,993.00M,440.00M,6.217B,0,509.00M,193.00M,8.465B,937.00M,20.78B,122.28B,659.00M,16.04B,0,101.50B,81.76B,17.67B,269.00M,0,12.28B
ALL,2013-06,50.00M,3.28B,500.00M,0.93,0.92,1.239B,2013-06,434.00M,6.413B,-99.00M,-99.00M,971.00M,250.00M,5.475B,6.121B,614.00M,180.00M,8.787B,1.09B,19.87B,121.48B,287.00M,16.74B,500.00M,101.61B,93.44B,16.24B,590.00M,750.00M,13.46B
ALL,2013-03,1.279B,3.989B,0,1.49,1.47,1.239B,2013-03,709.00M,6.434B,-98.00M,-98.00M,998.00M,782.00M,6.556B,6.394B,1.03B,321.00M,8.463B,1.102B,20.62B,126.61B,9.00M,17.37B,6.121B,105.99B,98.60B,17.56B,1.078B,948.00M,13.38B
ALL,2012-12,1.175B,3.142B,0,0.82,0.81,1.24B,2012-12,394.00M,6.57B,-92.00M,-92.00M,989.00M,597.00M,6.057B,750.00M,544.00M,150.00M,8.547B,1.095B,20.58B,126.95B,9.00M,16.96B,6.394B,106.37B,98.92B,17.03B,1.089B,761.00M,13.82B
ALL,2012-09,1.587B,3.467B,0,1.49,1.48,1.242B,2012-09,723.00M,6.904B,-93.00M,-93.00M,928.00M,689.00M,6.057B,6.691B,1.048B,325.00M,8.128B,1.01B,20.84B,126.99B,9.00M,8.575B,750.00M,106.15B,95.54B,17.24B,1.01B,0,5.108B
ALL,2012-06,745.00M,2.438B,0,0.86,0.86,1.242B,2012-06,423.00M,6.928B,-93.00M,-93.00M,909.00M,53.00M,6.058B,948.00M,602.00M,179.00M,8.278B,996.00M,19.48B,125.54B,9.00M,7.367B,6.691B,106.06B,94.72B,16.20B,989.00M,0,4.929B
ALL,2012-03,532.00M,2.463B,0,1.54,1.53,1.242B,2012-03,766.00M,7.167B,-95.00M,-95.00M,912.00M,0,6.058B,761.00M,1.112B,346.00M,8.362B,1.017B,19.18B,125.93B,9.00M,7.371B,948.00M,106.72B,98.96B,36.23B,1.014B,0,4.908B
ALL,2011-12,29.00M,2.067B,0,1.37,1.36,1.242B,2011-12,712.00M,7.139B,-92.00M,-92.00M,914.00M,0,5.908B,0,1.034B,322.00M,8.236B,1.083B,18.30B,125.19B,9.00M,14.24B,761.00M,106.87B,97.83B,15.96B,1.06B,0,12.17B
ALL,2011-09,-54.00M,4.543B,0,0.34,0.34,874.00M,2011-09,175.00M,6.956B,-92.00M,-92.00M,908.00M,0,5.907B,0,219.00M,44.00M,8.242B,888.00M,18.10B,126.96B,9.00M,9.531B,0,108.83B,94.84B,15.91B,7.055B,0,4.988B
ALL,2011-06,373.00M,3.229B,0,-1.19,-1.19,874.00M,2011-06,-624.00M,6.827B,-91.00M,-91.00M,914.00M,0,5.907B,0,-1.036B,-412.00M,8.081B,868.00M,18.76B,129.02B,9.00M,8.098B,0,110.23B,96.31B,36.09B,850.00M,0,4.869B
ALL,2011-03,-15.00M,2.627B,0,0.99,0.98,874.00M,2011-03,524.00M,6.582B,-92.00M,-92.00M,912.00M,0,5.908B,0,742.00M,218.00M,8.095B,900.00M,19.31B,130.42B,9.00M,7.469B,0,111.08B,101.27B,34.96B,911.00M,0,4.842B
